,index,mtx,threads,nrhs,time1,time2
0,0,circuit_2,1.0,1.0,1596.82,293.363
1,1,circuit_4,1.0,1.0,25940.1,3776.61
2,2,scircuit,1.0,1.0,183622.0,18929.8
3,3,ASIC_680ks,1.0,1.0,2859640.0,105144.0
