,index,mtx,threads,nrhs,time1,time2
0,0,circuit_2,1.0,1.0,731.962,163.213
1,1,circuit_4,1.0,1.0,9583.33,2165.31
2,2,scircuit,1.0,1.0,70482.4,12271.6
3,3,ASIC_680ks,1.0,1.0,407818.0,25203.0
