loopIndex,threadIndex,beginTime,endTime
57,5,115,472
58,0,0,418
58,1,16,428
58,2,32,457
58,3,49,494
58,4,97,503
58,5,114,550
59,0,0,382
59,1,16,393
59,2,33,419
59,3,50,436
59,4,96,463
59,5,114,486
60,0,0,446
60,1,16,449
60,2,33,472
60,3,50,497
60,4,103,530
60,5,121,550
61,0,0,364
61,1,18,380
61,2,35,410
61,3,50,411
61,4,99,452
61,5,112,464
62,0,0,476
62,1,19,509
62,2,32,546
62,3,50,554
62,4,69,557
62,5,119,588
63,0,0,415
63,1,17,434
63,2,33,482
63,3,51,476
63,4,64,467
63,5,114,516
64,0,0,403
64,1,18,436
64,2,32,448
64,3,50,471
64,4,78,466
64,5,99,499
65,0,0,426
65,1,18,455
65,2,32,482
65,3,59,509
65,4,78,503
65,5,93,529
66,0,0,383
66,1,17,400
66,2,34,406
66,3,51,435
66,4,65,434
66,5,80,450
67,0,0,386
67,1,16,413
67,2,34,428
67,3,51,455
67,4,64,442
67,5,79,499
68,0,0,406
68,1,16,433
68,2,33,458
68,3,49,481
68,4,79,487
68,5,97,500
69,0,0,379
69,1,14,388
69,2,31,429
69,3,46,442
69,4,61,451
69,5,111,480
70,0,0,422
70,1,14,435
70,2,32,485
70,3,47,527
70,4,58,482
70,5,111,531
71,0,0,523
71,1,19,561
71,2,37,577
71,3,54,644
71,4,70,643
71,5,89,615
72,0,0,455
72,1,15,478
72,2,32,500
72,3,49,520
72,4,62,509
72,5,122,552
73,0,0,369
73,1,15,408
73,2,29,415
73,3,45,437
73,4,60,438
73,5,110,482
74,0,0,403
74,1,17,424
74,2,35,454
74,3,50,475
74,4,66,484
74,5,81,486
75,0,0,405
75,1,17,437
75,2,36,460
75,3,50,484
75,4,67,466
75,5,82,485
76,0,0,371
76,1,18,406
76,2,32,415
76,3,53,441
76,4,66,433
76,5,89,453
77,0,0,478
77,1,4,442
77,2,20,458
77,3,39,489
77,4,53,490
77,5,69,498
78,0,0,378
78,1,17,389
78,2,34,431
78,3,52,442
78,4,67,437
78,5,82,466
79,0,0,389
79,1,19,426
79,2,32,467
79,3,50,493
79,4,68,483
79,5,82,510
80,0,0,474
80,1,16,491
80,2,36,525
80,3,77,645
80,4,86,549
80,5,113,790
81,0,0,422
81,1,15,456
81,2,28,490
81,3,44,507
81,4,58,499
81,5,108,539
82,0,0,377
82,1,14,391
82,2,30,418
82,3,45,444
82,4,58,432
82,5,111,472
83,0,0,401
83,1,16,406
83,2,31,420
83,3,47,450
83,4,63,454
83,5,110,489
84,0,0,435
84,1,17,472
84,2,31,501
84,3,47,510
84,4,61,504
84,5,115,534
85,0,0,467
85,1,11,444
85,2,30,520
85,3,45,497
85,4,71,506
85,5,93,535
86,0,0,483
86,1,18,508
86,2,33,522
86,3,49,546
86,4,65,524
86,5,117,563
87,0,0,362
87,1,14,376
87,2,30,413
87,3,44,426
87,4,59,420
87,5,110,475
88,0,0,1240
88,1,16,411
88,2,32,431
88,3,47,468
88,4,63,456
88,5,112,1066
89,0,0,632
89,1,21,661
89,2,41,715
89,3,80,753
89,4,89,768
89,5,162,1024
90,0,0,586
90,1,18,593
90,2,34,650
90,3,54,670
90,4,74,659
90,5,132,689
91,0,0,490
91,1,19,824
91,2,36,573
91,3,47,620
91,4,68,593
91,5,80,638
92,0,0,654
92,1,20,675
92,2,37,710
92,3,61,758
92,4,96,763
92,5,212,805
93,0,0,616
93,1,15,673
93,2,35,711
93,3,55,759
93,4,68,713
93,5,88,724
94,0,0,608
94,1,20,632
94,2,35,801
94,3,53,716
94,4,72,728
94,5,91,846
95,0,0,625
95,1,18,731
95,2,43,710
95,3,60,730
95,4,80,733
95,5,412,1130
96,0,0,583
96,1,17,600
96,2,50,620
96,3,235,774
96,4,244,776
96,5,265,810
97,0,0,609
97,1,14,622
97,2,36,674
97,3,49,714
97,4,64,637
97,5,160,710
98,0,0,594
98,1,17,620
98,2,36,663
98,3,55,700
98,4,69,720
98,5,83,706
99,0,0,557
99,1,17,592
99,2,33,635
99,3,52,659
99,4,69,655
99,5,81,660
