loopIndex,threadIndex,beginTime,endTime
0,0,0,97000
0,1,16,79594
0,2,18,71839
0,3,57,79264
0,4,76,65067
0,5,83,90719
0,6,114,75978
0,7,7844,82577
0,8,17770,95387
0,9,17869,97263
1,0,0,89515
1,1,14,66367
1,2,36,66906
1,3,52,67624
1,4,77,73006
1,5,94,90807
1,6,125,73055
1,7,3426,73848
1,8,13332,90508
1,9,33316,88748
2,0,0,86640
2,1,21,87797
2,2,37,72550
2,3,64,73072
2,4,88,65576
2,5,113,74281
2,6,115,73420
2,7,137,67090
2,8,20613,91050
2,9,20614,91086
3,0,0,84908
3,1,21,71549
3,2,33,71004
3,3,52,68078
3,4,72,90138
3,5,102,73781
3,6,112,66614
3,7,113,74393
3,8,21849,86176
3,9,21849,90613
4,0,0,90533
4,1,21,71776
4,2,42,70162
4,3,62,70020
4,4,74,86568
4,5,103,72887
4,6,106,68020
4,7,121,70841
4,8,21022,87022
4,9,21022,89861
5,0,0,87864
5,1,15,72315
5,2,39,71110
5,3,52,67541
5,4,71,67277
5,5,122,88442
5,6,255,71418
5,7,1895,74779
5,8,19009,90322
5,9,19090,90407
6,0,0,71281
6,1,14,72014
6,2,38,91066
6,3,61,71781
6,4,78,67939
6,5,112,87928
6,6,141,66432
6,7,9040,77995
6,8,18991,91669
6,9,18992,92743
7,0,0,71473
7,1,17,84435
7,2,42,70741
7,3,62,72022
7,4,75,87853
7,5,108,69783
7,6,113,72371
7,7,139,68146
7,8,17007,87912
7,9,17007,92994
8,0,0,66177
8,1,23,88745
8,2,53,72143
8,3,74,71102
8,4,102,73243
8,5,125,90090
8,6,144,67282
8,7,159,67169
8,8,16138,89359
8,9,16203,90457
9,0,0,90476
9,1,22,69657
9,2,38,72871
9,3,61,71675
9,4,91,68492
9,5,114,90430
9,6,137,71784
9,7,2458,72790
9,8,12348,89254
9,9,12348,89310
