,index,threads,nrhs,time1
0,0,1,1,9629.3
1,1,1,2,11490.6
2,2,1,4,11628.2
3,3,1,8,15375.7
4,4,1,16,24337.7
5,5,1,32,45123.4
6,6,1,64,90195
7,7,1,128,187247
8,8,1,256,386921
9,9,2,1,9866.7
10,10,2,2,11855.1
11,11,2,4,11980.4
12,12,2,8,16045
13,13,2,16,25888.2
14,14,2,32,48207.7
15,15,2,64,96954.2
16,16,2,128,194149
17,17,2,256,403197
18,18,3,1,9962
19,19,3,2,11901.5
20,20,3,4,12302.1
21,21,3,8,16411.6
22,22,3,16,26528.3
23,23,3,32,49637
24,24,3,64,99796.2
25,25,3,128,206290
26,26,3,256,423880
27,27,4,1,12839.8
28,28,4,2,13995.5
29,29,4,4,14788.4
30,30,4,8,19144.5
31,31,4,16,28905.9
32,32,4,32,51634.8
33,33,4,64,103287
34,34,4,128,206255
35,35,4,256,434381
36,36,5,1,19523.1
37,37,5,2,22262.5
38,38,5,4,22667.1
39,39,5,8,27197.3
40,40,5,16,41142.7
41,41,5,32,75280.4
42,42,5,64,147616
43,43,5,128,304432
44,44,5,256,550107
