,index,mtx,time1,time2
0,0,rajat11,14.06,76.62
1,1,circuit_2,167.85,4114.55
2,2,circuit_4,2093.5,117264.0
3,3,hcircuit,3342.6,126545.0
4,4,scircuit,12809.8,231409.0
5,5,ASIC_680ks,26302.6,689724.0
