,index,threads,nrhs,time1,time2
0,0,1.0,1.0,901.87,210.86
1,1,1.0,2.0,893.12,215.43
2,2,1.0,4.0,896.11,221.84
3,3,1.0,8.0,892.05,261.1
4,4,1.0,16.0,972.85,422.15
5,5,1.0,32.0,937.05,935.26
6,6,1.0,64.0,900.73,2037.83
7,7,1.0,128.0,908.5,3861.6
8,8,2.0,1.0,918.27,214.31
9,9,2.0,2.0,912.6,219.19
10,10,2.0,4.0,925.58,228.25
11,11,2.0,8.0,916.84,273.1
12,12,2.0,16.0,987.77,446.46
13,13,2.0,32.0,967.78,971.04
14,14,2.0,64.0,946.3,2131.5
15,15,2.0,128.0,971.6,4325.6
16,16,4.0,1.0,953.06,224.74
17,17,4.0,2.0,949.83,226.3
18,18,4.0,4.0,955.53,233.63
19,19,4.0,8.0,1003.85,300.87
20,20,4.0,16.0,1025.32,461.12
21,21,4.0,32.0,975.2,1034.8
22,22,4.0,64.0,1001.1,2453.2
23,23,4.0,128.0,1037.1,5676.5
24,24,8.0,1.0,1045.6,233.02
25,25,8.0,2.0,1086.95,249.27
26,26,8.0,4.0,1056.88,271.52
27,27,8.0,8.0,1090.14,343.65
28,28,8.0,16.0,1140.5,647.7
29,29,8.0,32.0,1077.2,1182.0
30,30,8.0,64.0,1098.4,3102.3
31,31,8.0,128.0,1117.0,6762.1
32,32,16.0,1.0,1611.19,414.05
33,33,16.0,2.0,1643.69,435.53
34,34,16.0,4.0,1654.28,447.08
35,35,16.0,8.0,1628.2,712.9
36,36,16.0,16.0,1691.0,1040.3
37,37,16.0,32.0,1689.3,2430.9
38,38,16.0,64.0,1703.0,5360.6
39,39,16.0,128.0,1672.9,12064.8
40,40,32.0,1.0,2370.25,485.71
41,41,32.0,2.0,2373.94,491.79
42,42,32.0,4.0,2944.6,684.1
43,43,32.0,8.0,2962.2,969.8
44,44,32.0,16.0,2480.1,1634.2
45,45,32.0,32.0,2463.1,3691.8
46,46,32.0,64.0,2384.9,8170.2
47,47,32.0,128.0,2389.9,18051.0
48,48,48.0,1.0,3573.33,648.23
49,49,48.0,2.0,3232.2,664.5
50,50,48.0,4.0,3475.5,839.8
51,51,48.0,8.0,3204.1,1238.3
52,52,48.0,16.0,3434.7,2390.0
53,53,48.0,32.0,3406.6,5119.2
54,54,48.0,64.0,3590.7,13239.8
55,55,48.0,128.0,3496.0,26986.8
56,56,60.0,1.0,4568.31,813.68
57,57,60.0,2.0,5082.0,1040.2
58,58,60.0,4.0,5223.0,1174.7
59,59,60.0,8.0,4954.3,1782.9
60,60,60.0,16.0,4739.6,3589.6
61,61,60.0,32.0,4078.9,7506.0
62,62,60.0,64.0,4021.4,16845.7
63,63,60.0,128.0,3874.4,37618.3
