,index,mtx,threads,nrhs,time1,time2
0,0,circuit_2,1.0,1.0,871.757,195.284
1,1,circuit_4,1.0,1.0,11477.1,2528.62
2,2,scircuit,1.0,1.0,90109.3,14803.3
3,3,ASIC_680ks,1.0,1.0,514843.0,30647.0
