,index,threads,nrhs,time1,time2
0,0,1.0,1.0,884.33,257.72
1,1,1.0,2.0,922.39,288.72
2,2,1.0,4.0,959.58,248.23
3,3,1.0,8.0,879.39,292.82
4,4,1.0,16.0,930.34,422.68
5,5,1.0,32.0,976.23,705.1
6,6,1.0,64.0,1026.75,1364.71
7,7,1.0,128.0,1047.3,3264.7
8,8,2.0,1.0,974.92,312.11
9,9,2.0,2.0,981.82,336.77
10,10,2.0,4.0,992.77,363.54
11,11,2.0,8.0,1028.19,420.97
12,12,2.0,16.0,1002.75,490.74
13,13,2.0,32.0,1046.59,747.61
14,14,2.0,64.0,1039.6,1431.0
15,15,2.0,128.0,1044.4,3394.9
16,16,4.0,1.0,1097.73,394.52
17,17,4.0,2.0,1124.95,405.34
18,18,4.0,4.0,1139.05,417.63
19,19,4.0,8.0,1130.2,477.79
20,20,4.0,16.0,1103.06,567.16
21,21,4.0,32.0,1046.7,734.1
22,22,4.0,64.0,1093.8,1479.8
23,23,4.0,128.0,1072.6,4024.9
24,24,8.0,1.0,1648.1,461.61
25,25,8.0,2.0,1668.0,460.33
26,26,8.0,4.0,1406.7,476.94
27,27,8.0,8.0,1507.6,503.29
28,28,8.0,16.0,1582.3,578.1
29,29,8.0,32.0,1489.4,869.4
30,30,8.0,64.0,1727.6,1692.2
31,31,8.0,128.0,1740.1,5276.8
32,32,16.0,1.0,3157.1,553.42
33,33,16.0,2.0,3528.21,546.33
34,34,16.0,4.0,3252.04,562.32
35,35,16.0,8.0,2874.5,580.9
36,36,16.0,16.0,2858.7,686.5
37,37,16.0,32.0,3051.6,1032.4
38,38,16.0,64.0,2912.1,2358.8
39,39,16.0,128.0,3042.2,7305.8
40,40,32.0,1.0,6104.56,712.53
41,41,32.0,2.0,6057.6,733.09
42,42,32.0,4.0,4795.3,726.6
43,43,32.0,8.0,5099.4,853.2
44,44,32.0,16.0,5423.1,1084.8
45,45,32.0,32.0,5428.3,2174.5
46,46,32.0,64.0,5676.3,6021.8
47,47,32.0,128.0,5353.2,13746.0
48,48,64.0,1.0,10150.4,904.42
49,49,64.0,2.0,8501.0,928.9
50,50,64.0,4.0,8636.3,982.0
51,51,64.0,8.0,9003.2,1111.1
52,52,64.0,16.0,9160.2,1784.3
53,53,64.0,32.0,8744.6,4442.4
54,54,64.0,64.0,8304.7,10618.9
55,55,64.0,128.0,9090.4,24333.0
