,index,mtx,threads,nrhs,time1,time2
0,0,circuit_2,1.0,1.0,787.163,168.205
1,1,circuit_4,1.0,1.0,10233.2,2147.41
2,2,scircuit,1.0,1.0,79419.1,12092.9
3,3,ASIC_680ks,1.0,1.0,489381.0,24486.0
