,index,threads,nrhs,time1,time2
0,0,1.0,1.0,1127.84,204.91
1,1,1.0,2.0,1128.84,252.73
2,2,1.0,4.0,1135.08,323.12
3,3,1.0,8.0,1142.19,478.16
4,4,1.0,16.0,1144.43,742.08
5,5,1.0,32.0,1147.21,1497.7
6,6,1.0,64.0,1150.32,2929.49
7,7,1.0,128.0,1149.2,5837.5
8,8,2.0,1.0,1188.16,210.99
9,9,2.0,2.0,1178.1,265.7
10,10,2.0,4.0,1181.83,340.08
11,11,2.0,8.0,1170.38,481.84
12,12,2.0,16.0,1191.49,754.55
13,13,2.0,32.0,1178.57,1501.37
14,14,2.0,64.0,1190.3,2964.3
15,15,2.0,128.0,1199.1,6028.6
16,16,4.0,1.0,1249.43,221.06
17,17,4.0,2.0,1245.61,272.66
18,18,4.0,4.0,1254.23,338.33
19,19,4.0,8.0,1249.94,497.39
20,20,4.0,16.0,1251.45,812.47
21,21,4.0,32.0,1240.2,1537.5
22,22,4.0,64.0,1271.8,3021.8
23,23,4.0,128.0,1262.4,6241.2
24,24,8.0,1.0,1397.2,241.05
25,25,8.0,2.0,1385.21,286.63
26,26,8.0,4.0,1391.71,356.17
27,27,8.0,8.0,1417.88,516.24
28,28,8.0,16.0,1367.7,851.1
29,29,8.0,32.0,1356.2,1594.6
30,30,8.0,64.0,1352.6,3164.7
31,31,8.0,128.0,1390.7,6728.3
32,32,16.0,1.0,1722.08,266.42
33,33,16.0,2.0,1668.89,315.35
34,34,16.0,4.0,1715.96,391.06
35,35,16.0,8.0,1637.7,548.5
36,36,16.0,16.0,1582.2,915.5
37,37,16.0,32.0,1620.5,1730.4
38,38,16.0,64.0,1638.6,3627.9
39,39,16.0,128.0,1651.1,7862.1
40,40,32.0,1.0,2412.54,333.79
41,41,32.0,2.0,2413.1,377.41
42,42,32.0,4.0,2176.1,453.2
43,43,32.0,8.0,2258.9,630.7
44,44,32.0,16.0,2206.4,1068.3
45,45,32.0,32.0,2249.6,2393.6
46,46,32.0,64.0,2248.1,5442.7
47,47,32.0,128.0,2328.2,12095.4
48,48,64.0,1.0,3945.65,463.09
49,49,64.0,2.0,3816.3,542.4
50,50,64.0,4.0,3831.1,717.0
51,51,64.0,8.0,3805.9,1104.8
52,52,64.0,16.0,3792.3,2193.6
53,53,64.0,32.0,3817.8,4988.0
54,54,64.0,64.0,3723.6,11819.2
55,55,64.0,128.0,3742.7,24528.8
