,index,mtx,threads,nrhs,time1,time2
0,0,circuit_2,1.0,1.0,1090.63,184.724
1,1,circuit_4,1.0,1.0,15891.4,2612.52
2,2,scircuit,1.0,1.0,116365.0,13160.8
3,3,ASIC_680ks,1.0,1.0,741825.0,31673.0
