,index,mtx,threads,nrhs,time1,time2
0,0,circuit_2,1.0,1.0,847.061,138.167
1,1,circuit_4,1.0,1.0,10531.1,1776.06
2,2,scircuit,1.0,1.0,83567.9,8881.2
3,3,ASIC_680ks,1.0,1.0,525709.0,19695.0
