,index,mtx,threads,nrhs,time1,time2
0,0,circuit_2,1.0,1.0,964.375,215.524
1,1,circuit_4,1.0,1.0,12560.5,2770.21
2,2,scircuit,1.0,1.0,96738.6,15344.5
3,3,ASIC_680ks,1.0,1.0,550249.0,32313.0
