,index,mtx,threads,nrhs,time1,time2
0,0,circuit_2,1.0,1.0,924.16,158.177
1,1,circuit_4,1.0,1.0,14297.1,2256.69
2,2,scircuit,1.0,1.0,103300.0,12106.8
3,3,ASIC_680ks,1.0,1.0,690911.0,28316.0
