,index,mtx,threads,nrhs,time1,time2
0,0,circuit_2,1.0,1.0,1599.12,293.501
1,1,circuit_4,1.0,1.0,28294.5,4185.27
2,2,scircuit,1.0,1.0,183030.0,18981.7
3,3,ASIC_680ks,1.0,1.0,1797230.0,42614.0
