,index,mtx,threads,nrhs,time1,time2
0,0,circuit_2,1.0,1.0,708.164,146.715
1,1,circuit_4,1.0,1.0,9805.96,1830.2
2,2,scircuit,1.0,1.0,79289.0,10942.1
3,3,ASIC_680ks,1.0,1.0,445920.0,24395.0
