,index,threads,nrhs,time1,time2
0,0,1.0,1.0,723.74,179.34
1,1,1.0,2.0,718.54,190.28
2,2,1.0,4.0,727.7,186.98
3,3,1.0,8.0,725.1,226.28
4,4,1.0,16.0,731.99,296.56
5,5,1.0,32.0,729.21,532.6
6,6,1.0,64.0,740.11,990.53
7,7,1.0,128.0,747.2,2103.3
8,8,2.0,1.0,882.69,190.23
9,9,2.0,2.0,845.27,195.25
10,10,2.0,4.0,769.25,207.29
11,11,2.0,8.0,905.01,260.22
12,12,2.0,16.0,774.39,374.81
13,13,2.0,32.0,805.52,754.82
14,14,2.0,64.0,823.7,1448.1
15,15,2.0,128.0,808.6,2586.1
16,16,4.0,1.0,1069.87,216.64
17,17,4.0,2.0,1066.23,219.67
18,18,4.0,4.0,1015.27,238.62
19,19,4.0,8.0,987.08,293.03
20,20,4.0,16.0,971.61,427.46
21,21,4.0,32.0,1040.3,860.5
22,22,4.0,64.0,1026.7,1565.5
23,23,4.0,128.0,1003.1,2809.0
24,24,8.0,1.0,1182.54,231.47
25,25,8.0,2.0,1193.24,251.81
26,26,8.0,4.0,1185.82,260.26
27,27,8.0,8.0,1200.88,339.66
28,28,8.0,16.0,1136.4,503.2
29,29,8.0,32.0,1165.7,950.1
30,30,8.0,64.0,1177.7,1725.8
31,31,8.0,128.0,1197.7,3238.6
32,32,16.0,1.0,1606.34,366.52
33,33,16.0,2.0,1486.03,308.89
34,34,16.0,4.0,1480.71,316.84
35,35,16.0,8.0,1376.5,431.8
36,36,16.0,16.0,1449.2,600.5
37,37,16.0,32.0,1432.0,1159.4
38,38,16.0,64.0,1439.1,2350.2
39,39,16.0,128.0,1491.6,4818.2
40,40,32.0,1.0,2374.05,469.71
41,41,32.0,2.0,2324.27,511.61
42,42,32.0,4.0,2266.7,571.2
43,43,32.0,8.0,2240.3,808.1
44,44,32.0,16.0,2253.6,1204.8
45,45,32.0,32.0,2353.6,2339.0
46,46,32.0,64.0,2258.1,4714.2
47,47,32.0,128.0,2359.5,9128.3
48,48,48.0,1.0,2953.95,579.36
49,49,48.0,2.0,3289.8,635.5
50,50,48.0,4.0,3132.5,719.8
51,51,48.0,8.0,3007.1,979.1
52,52,48.0,16.0,3199.5,1604.0
53,53,48.0,32.0,2986.1,3352.8
54,54,48.0,64.0,3258.5,6389.1
55,55,48.0,128.0,3283.5,12774.5
56,56,56.0,1.0,3304.43,656.95
57,57,56.0,2.0,3588.9,701.9
58,58,56.0,4.0,3697.7,807.3
59,59,56.0,8.0,3664.8,1212.0
60,60,56.0,16.0,3516.9,1874.7
61,61,56.0,32.0,3662.8,3839.5
62,62,56.0,64.0,3790.0,6888.1
63,63,56.0,128.0,3851.6,15505.2
